,day,best_agent_profit,day_best_agent_profit
509,509,71296.44047927856,71064.6217918396
510,510,71296.44047927856,71121.2689781189
511,511,71296.44047927856,71121.2689781189
512,512,71296.44047927856,71121.2689781189
513,513,71296.44047927856,71121.2689781189
514,514,71296.44047927856,71121.2689781189
515,515,71296.44047927856,71121.2689781189
516,516,71296.44047927856,71121.2689781189
517,517,71296.44047927856,71121.2689781189
518,518,71296.44047927856,71121.2689781189
519,519,71296.44047927856,71122.84630966187
520,520,71482.02765274048,71482.02765274048
521,521,71482.02765274048,71121.51037216187
522,522,71482.02765274048,71121.2689781189
523,523,71482.02765274048,71121.2689781189
524,524,71482.02765274048,71121.2689781189
525,525,71482.02765274048,71121.2689781189
526,526,71482.02765274048,71121.2689781189
527,527,71482.02765274048,71121.2689781189
528,528,71482.02765274048,71121.2689781189
529,529,71482.02765274048,71121.55844116211
530,530,71482.02765274048,71121.55844116211
531,531,71482.02765274048,71121.2689781189
532,532,71482.02765274048,71121.2689781189
533,533,71482.02765274048,71121.2689781189
534,534,71482.02765274048,71121.2689781189
535,535,71482.02765274048,71121.2689781189
536,536,71482.02765274048,71121.2689781189
537,537,71482.02765274048,71121.2689781189
538,538,71482.02765274048,71121.2689781189
539,539,71482.02765274048,71121.2689781189
540,540,71482.02765274048,71121.3070602417
541,541,71482.02765274048,71121.2689781189
542,542,71482.02765274048,71121.2689781189
543,543,71482.02765274048,71121.2689781189
544,544,71482.02765274048,71121.2689781189
545,545,71482.02765274048,71121.2689781189
546,546,71482.02765274048,71121.2689781189
547,547,71482.02765274048,71207.00896835327
548,548,71482.02765274048,71121.2689781189
549,549,71482.02765274048,71125.03526306152
550,550,71482.02765274048,71125.03526306152
551,551,71482.02765274048,71121.2689781189
552,552,71482.02765274048,71121.2689781189
553,553,71482.02765274048,71121.2689781189
554,554,71482.02765274048,71121.2689781189
555,555,71482.02765274048,71259.7449760437
556,556,71482.02765274048,71259.7449760437
557,557,71482.02765274048,71259.7449760437
558,558,71482.02765274048,71259.7449760437
559,559,71482.02765274048,71259.7449760437
560,560,71482.02765274048,71259.7449760437
561,561,71482.02765274048,71259.7449760437
562,562,71482.02765274048,71259.7449760437
563,563,71482.02765274048,71259.7449760437
564,564,71482.02765274048,71259.7449760437
565,565,71482.02765274048,71312.18031311035
566,566,71482.02765274048,71312.18031311035
567,567,71482.02765274048,71312.18031311035
568,568,72796.14503097534,72796.14503097534
569,569,72796.14503097534,72796.14503097534
570,570,72796.14503097534,72796.14503097534
571,571,72796.14503097534,72796.14503097534
572,572,72796.14503097534,72792.93041610718
573,573,72796.14503097534,72793.40672683716
574,574,72796.14503097534,72793.40672683716
575,575,72796.14503097534,72793.40672683716
576,576,72796.14503097534,72792.93041610718
577,577,72796.14503097534,72792.93041610718
578,578,72796.14503097534,72792.93041610718
579,579,72796.14503097534,72792.93041610718
580,580,72796.14503097534,72792.93041610718
581,581,72796.14503097534,72792.93041610718
582,582,72796.14503097534,72792.93041610718
583,583,72796.14503097534,72792.93041610718
584,584,72796.14503097534,72781.10238265991
585,585,72796.14503097534,72451.26671218872
586,586,72796.14503097534,72466.83974838257
587,587,72796.14503097534,72466.83974838257
588,588,72796.14503097534,72466.83974838257
589,589,72796.14503097534,72466.83974838257
590,590,72796.14503097534,72466.83974838257
591,591,72796.14503097534,72466.83974838257
592,592,72796.14503097534,72466.83974838257
593,593,72796.14503097534,72466.83974838257
594,594,72796.14503097534,72466.83974838257
595,595,72796.14503097534,72466.83974838257
596,596,72796.14503097534,72466.83974838257
597,597,72796.14503097534,72466.83974838257
598,598,72796.14503097534,72466.83974838257
599,599,72796.14503097534,72466.83974838257
600,600,72796.14503097534,72491.91687393188
601,601,72796.14503097534,72691.85621261597
602,602,72796.14503097534,72666.77908706665
603,603,72796.14503097534,72667.77042007446
604,604,72796.14503097534,72466.83974838257
605,605,72796.14503097534,72467.95620536804
606,606,72796.14503097534,72467.95620536804
607,607,72796.14503097534,72467.95620536804
608,608,72796.14503097534,72467.95620536804
609,609,72796.14503097534,72467.95620536804
610,610,72796.14503097534,72467.95620536804
611,611,72796.14503097534,72467.95620536804
612,612,72796.14503097534,72467.95620536804
613,613,72796.14503097534,72467.95620536804
614,614,72796.14503097534,72467.95620536804
615,615,72796.14503097534,72467.95620536804
616,616,72796.14503097534,72468.32173728943
617,617,72796.14503097534,72466.83974838257
618,618,72796.14503097534,72466.83974838257
619,619,72796.14503097534,72550.42260360718
620,620,72796.14503097534,72550.42260360718
621,621,72796.14503097534,72550.42260360718
622,622,72796.14503097534,72550.42260360718
623,623,72796.14503097534,72513.61546707153
624,624,72796.14503097534,72466.83974838257
625,625,72796.14503097534,72466.83974838257
626,626,72796.14503097534,72466.83974838257
627,627,72796.14503097534,72466.83974838257
628,628,72796.14503097534,72466.83974838257
629,629,72796.14503097534,72466.83974838257
630,630,72796.14503097534,72466.83974838257
631,631,72796.14503097534,72466.83974838257
632,632,72796.14503097534,72466.83974838257
633,633,72796.14503097534,72466.83974838257
634,634,72796.14503097534,72466.83974838257
635,635,72796.14503097534,72466.83974838257
636,636,72796.14503097534,72466.83974838257
637,637,72796.14503097534,72466.83974838257
638,638,72796.14503097534,72466.83974838257
639,639,72796.14503097534,72466.83974838257
640,640,72796.14503097534,72466.83974838257
641,641,72796.14503097534,72466.83974838257
642,642,72796.14503097534,72466.83974838257
643,643,72796.14503097534,72466.83974838257
644,644,72796.14503097534,72466.83974838257
645,645,72796.14503097534,72466.83974838257
646,646,72796.14503097534,72466.83974838257
647,647,72796.14503097534,72466.83974838257
648,648,72796.14503097534,72466.83974838257
649,649,72796.14503097534,72466.83974838257
650,650,72796.14503097534,72466.83974838257
651,651,72796.14503097534,72466.83974838257
652,652,72796.14503097534,72466.83974838257
653,653,72796.14503097534,72466.83974838257
654,654,72796.14503097534,72466.83974838257
655,655,72796.14503097534,72466.83974838257
656,656,72796.14503097534,72466.83974838257
657,657,72796.14503097534,72466.83974838257
658,658,72796.14503097534,72466.83974838257
659,659,72796.14503097534,72466.83974838257
660,660,72796.14503097534,72466.83974838257
661,661,72796.14503097534,72466.83974838257
662,662,72796.14503097534,72466.83974838257
663,663,72796.14503097534,72466.83974838257
664,664,72796.14503097534,72466.83974838257
665,665,72796.14503097534,72466.83974838257
666,666,72796.14503097534,72515.44887924194
667,667,72796.14503097534,72466.83974838257
668,668,72796.14503097534,72466.83974838257
669,669,72796.14503097534,72466.83974838257
670,670,72796.14503097534,72466.83974838257
671,671,72796.14503097534,72466.83974838257
672,672,72796.14503097534,72466.83974838257
673,673,72796.14503097534,72466.83974838257
674,674,72796.14503097534,72466.83974838257
675,675,72796.14503097534,72467.84303855896
676,676,72796.14503097534,72466.83974838257
